Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-07-30,PCS PCS 2023 Summer,13.13,Win,Blue,Impunity,24:08,Milio,2,1,14
2023-07-29,PCS PCS 2023 Summer,13.13,Loss,Red,Frank Esports,33:60,Gragas,1,1,4
2023-07-28,PCS PCS 2023 Summer,13.13,Win,Blue,Beyond Gaming,26:49,Milio,0,1,9
2023-07-23,PCS PCS 2023 Summer,13.12,Win,Blue,CTBC Flying Oyster,37:38,Alistar,0,0,14
2023-07-22,PCS PCS 2023 Summer,13.12,Win,Blue,West Point Esports Philippines,23:40,Milio,1,0,16
2023-07-21,PCS PCS 2023 Summer,13.12,Win,Blue,Deep Cross Gaming,24:56,Lulu,0,1,13
2023-07-16,PCS PCS 2023 Summer,13.12,Win,Red,Frank Esports,23:39,Alistar,1,3,11
2023-07-15,PCS PCS 2023 Summer,13.12,Win,Red,Dewish Team,21:43,Milio,1,1,22
2023-07-14,PCS PCS 2023 Summer,13.12,Loss,Red,Beyond Gaming,35:59,Alistar,1,4,7
2023-07-09,PCS PCS 2023 Summer,13.12,Win,Red,Deep Cross Gaming,31:00,Braum,1,0,11
2023-07-08,PCS PCS 2023 Summer,13.12,Win,Red,CTBC Flying Oyster,37:55,Lulu,0,1,14
2023-07-07,PCS PCS 2023 Summer,13.12,Win,Red,West Point Esports Philippines,25:27,Milio,0,2,15
2023-07-02,PCS PCS 2023 Summer,13.12,Loss,Blue,PSG Talon,30:41,Lulu,0,0,1
2023-07-01,PCS PCS 2023 Summer,13.12,Win,Red,HELL PIGS,23:23,Milio,1,0,13
2023-06-30,PCS PCS 2023 Summer,13.12,Win,Red,Impunity,21:60,Renata Glasc,2,0,11
2023-03-11,PCS PCS 2023 Spring,13.4,Win,Red,PSG Talon,38:20,Lulu,0,1,8
2023-03-10,PCS PCS 2023 Spring,13.4,Loss,Red,CTBC Flying Oyster,30:50,Lulu,1,2,2
2023-03-09,PCS PCS 2023 Spring,13.4,Win,Blue,Dewish Team,29:24,Lux,3,0,9
2023-03-05,PCS PCS 2023 Spring,13.4,Win,Red,Impunity,31:26,Lulu,1,0,17
2023-03-04,PCS PCS 2023 Spring,13.4,Loss,Blue,Beyond Gaming,30:55,Ashe,1,1,0
2023-03-03,PCS PCS 2023 Spring,13.4,Win,Blue,SEM9 WPE,32:08,Annie,0,2,15
2023-02-26,PCS PCS 2023 Spring,13.3,Loss,Blue,HELL PIGS,36:27,Heimerdinger,1,1,0
2023-02-25,PCS PCS 2023 Spring,13.3,Loss,Blue,Frank Esports,28:10,Karma,0,2,5
2023-02-24,PCS PCS 2023 Spring,13.3,Loss,Red,Deep Cross Gaming,29:29,Lulu,1,3,0
2023-02-19,PCS PCS 2023 Spring,13.3,Loss,Red,PSG Talon,40:04,Karma,0,3,4
2023-02-18,PCS PCS 2023 Spring,13.3,Loss,Red,CTBC Flying Oyster,30:23,Karma,0,1,5
2023-02-17,PCS PCS 2023 Spring,13.3,Win,Red,Impunity,29:52,Lulu,0,0,13
2023-02-12,PCS PCS 2023 Spring,13.1,Loss,Red,Beyond Gaming,33:08,Ashe,2,4,4
2023-02-11,PCS PCS 2023 Spring,13.1,Win,Blue,SEM9 WPE,27:17,Nami,1,0,13
2023-02-10,PCS PCS 2023 Spring,13.1,Win,Blue,HELL PIGS,31:46,Yuumi,1,0,13
2023-02-05,PCS PCS 2023 Spring,13.1,Loss,Red,Frank Esports,34:20,Yuumi,0,0,4
2023-02-04,PCS PCS 2023 Spring,13.1,Win,Red,Dewish Team,26:46,Nami,1,0,18
2023-02-03,PCS PCS 2023 Spring,13.1,Loss,Blue,Deep Cross Gaming,34:40,Nami,2,2,3
